Notice Date,Date Received,Eviction Category,Cause,Address,City,Zip,Bedroom,Notice Type,Apn,Council District,Rent Owed
2/9/23,2/13/23,At-Fault,Non-payment of rent,8735 Independence Ave,Canoga Park,91304,,30 Day,2779003058,3,"$2,305.00 "
2/9/23,2/13/23,At-Fault,Non-payment of rent,8735 Independence Ave,Canoga Park,91304,,30 Day,2779003058,3,"$2,536.00 "
2/9/23,2/13/23,At-Fault,Non-payment of rent,8735 Independence Ave,Canoga Park,91304,,30 Day,2779003058,3,"$2,410.00 "
2/9/23,2/13/23,At-Fault,Non-payment of rent,8735 Independence Ave,Canoga Park,91304,,30 Day,2779003058,3,"$2,483.00 "
2/9/23,2/13/23,At-Fault,Non-payment of rent,8735 Independence Ave,Canoga Park,91304,,30 Day,2779003058,3,"$2,459.00 "
2/13/23,2/16/23,At-Fault,Non-payment of rent,7336 Independence AvE,Canoga Park,91303,,3 Day,2112016008,3,"$1,350.00 "
2/15/23,2/16/23,At-Fault,Non-payment of rent,21517 Saticoy St,Canoga Park,91304,,3 Day,2110021048,3,"$1,680.65 "
2/15/23,2/16/23,At-Fault,Non-payment of rent,21517 Saticoy St,Canoga Park,91304,,3 Day,2110021048,3,"$1,680.65 "
2/15/23,2/16/23,At-Fault,Non-payment of rent,21511 Saticoy St,Canoga Park,91304,,3 Day,2110021048,3,"$1,083.42 "
2/15/23,2/16/23,At-Fault,Non-payment of rent,21517 Saticoy St,Canoga Park,91304,,3 Day,2110021048,3,"$1,083.42 "
2/16/23,2/17/23,At-Fault,Non-payment of rent,21736 Roscoe Blvd,Canoga Park,91304,1,3 Day,2110001037,3,"$1,895.00 "
2/14/23,2/21/23,At-Fault,"Violation of the rental agreement or lease, Damage to the rental unit, Disorderly behavior/disturbing the peace (Nuisance)",6940 Owensmouth Ave,Canoga Park,91303,,3 Day,2138007029,3,$0.00 
2/9/23,2/21/23,At-Fault,Violation of the rental agreement or lease,7851 Farralone Ave,Canoga Park,91304,,3 Day,2012016029,3,"$10,661.27 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,23838 Haynes St,Canoga Park,91307,,3 Day,2034022051,12,"$1,163.03 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,20626 Mandell St,Canoga Park,91306,,3 Day,2780027020,3,"$3,414.00 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,7000 Comanche Ave,Canoga Park,91306,,3 Day,2135005022,3,"$3,232.00 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,8231 Variel Ave,Canoga Park,91304,,3 Day,2109002003,3,"$3,283.00 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,7000 Comanche Ave,Canoga Park,91306,,3 Day,2135005022,3,"$3,232.00 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,21710 Schoenborn St,Canoga Park,91304,,3 Day,2779037019,3,"$3,536.43 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,7851 Farralone Ave,Canoga Park,91304,,3 Day,2012016029,3,"$10,661.27 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,7645 Sedan Ave,Canoga Park,91304,,3 Day,2014035003,12,"$11,736.53 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,19745 Lull St,Canoga Park,91306,,3 Day,2106034015,3,"$4,000.00 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,7645 Sedan Ave,Canoga Park,91304,,3 Day,2014035003,12,"$11,736.53 "
2/22/23,2/28/23,At-Fault,Non-payment of rent,8372 Northgate Ave Unit 2,Canoga Park,91304,1,3 Day,2779043011,3,"$7,588.00 "
3/2/23,3/7/23,At-Fault,Non-payment of rent,20334 Saticoy Street,Canoga Park,91306,,3 Day,2114007005,3,"$1,980.00 "
3/8/23,3/8/23,At-Fault,Non-payment of rent,21021 Vanowen St,Canoga Park,91303,1,3 Day,2138023022,3,"$1,878.00 "
3/8/23,3/8/23,At-Fault,Non-payment of rent,21021 Vanowen St,Canoga Park,91303,2,3 Day,2138023022,3,"$2,295.00 "
3/7/23,3/8/23,At-Fault,Non-payment of rent,22133 Sherman Way,Canoga Park,91303,4,3 Day,2023009018,3,"$6,300.00 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,21000 Parthenia ST,Canoga Park,91304,1,3 Day,2779010055,3,"$1,475.00 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,7000 Vassar Ave,Canoga Park,91303,3,3 Day,2138003009,3,"$3,493.00 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,7000 Vassar Ave,Canoga Park,91303,2,3 Day,2138003009,3,"$2,271.00 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,7000 Vassar Ave,Canoga Park,91303,2,3 Day,2138003009,3,"$2,263.00 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,7000 Vassar Ave,Canoga Park,91303,2,3 Day,2138003009,3,"$2,064.36 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,7000 Vassar Ave,Canoga Park,91303,2,3 Day,2138003009,3,"$2,257.00 "
3/1/23,3/9/23,At-Fault,Non-payment of rent,8940 Topanga Canyon Blvd,Canoga Park,91304,2,3 Day,2779020053,3,"$2,433.00 "
3/1/23,3/9/23,At-Fault,Non-payment of rent,8935 Owensmouth Ave,Canoga Park,91304,2,3 Day,2779020053,3,"$1,366.58 "
3/7/23,3/9/23,At-Fault,Non-payment of rent,7000 Vassar Ave,Canoga Park,91303,2,3 Day,2138003009,3,"$2,402.00 "
2/1/23,3/9/23,At-Fault,Non-payment of rent,8930 Topanga Canyon Blvd,Canoga Park,91304,3,3 Day,2779020053,3,"$5,580.00 "
3/1/23,3/10/23,At-Fault,Non-payment of rent,8930 Topanga Canyon Blvd,Canoga Park,91304,2,3 Day,2779020053,3,"$2,353.00 "
3/10/23,3/10/23,At-Fault,Non-payment of rent,6936 1/2 Remmet Ave. Bedroom 3,Canoga Park,91303,1,3 Day,2138010010,3,"$1,560.00 "
3/9/23,3/10/23,At-Fault,Non-payment of rent,6710 Variel Ave,Canoga Park,91303,2,3 Day,2148029036,3,"$3,213.00 "
2/1/23,3/11/23,At-Fault,Non-payment of rent,20955 Kittridge St,Canoga Park,91303,1,3 Day,2148027039,3,"$1,710.17 "
3/1/23,3/11/23,At-Fault,Non-payment of rent,20955 Kittridge St,Canoga Park,91303,2,3 Day,2148027039,3,"$1,750.00 "
3/1/23,3/11/23,At-Fault,Non-payment of rent,20955 Kittridge St,Canoga Park,91303,1,3 Day,2148027039,3,$947.25 
2/1/23,3/11/23,At-Fault,Non-payment of rent,6630 Independence Ave,Canoga Park,91303,1,3 Day,2148026043,3,"$3,220.00 "
2/1/23,3/11/23,At-Fault,Non-payment of rent,6630 Independence Ave,Canoga Park,91303,1,3 Day,2148026043,3,"$3,418.00 "
3/1/23,3/11/23,At-Fault,Non-payment of rent,6630 Independence Ave,Canoga Park,91303,1,3 Day,2148026043,3,"$1,700.00 "
3/1/23,3/11/23,At-Fault,Non-payment of rent,20955 Kittridge St,Canoga Park,91303,2,3 Day,2148027039,3,"$2,085.00 "
2/1/23,3/11/23,At-Fault,Non-payment of rent,6630 Independence Ave,Canoga Park,91303,2,3 Day,2148026043,3,"$3,630.00 "
3/1/23,3/11/23,At-Fault,Non-payment of rent,6630 Independence Ave,Canoga Park,91303,1,3 Day,2148026043,3,"$1,584.00 "
3/1/23,3/11/23,At-Fault,Non-payment of rent,20955 Kittridge St,Canoga Park,91303,1,3 Day,2148027039,3,"$1,484.00 "
3/9/23,3/13/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,1,30 Day,2114019015,3,"$2,795.57 "
3/9/23,3/13/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,1,30 Day,2114019015,3,"$1,843.00 "
3/8/23,3/13/23,At-Fault,Non-payment of rent,6912 Milwood Ave,Canoga Park,91303,,3 Day,2138021032,3,"$1,380.00 "
3/8/23,3/13/23,At-Fault,Non-payment of rent,7251 N Milwood Ave,Canoga Park,91303,2,3 Day,2112023023,3,"$1,938.00 "
3/13/23,3/13/23,At-Fault,Non-payment of rent,7251 Milwood Ave,Canoga Park,91303,2,3 Day,2112023023,3,"$1,938.00 "
3/9/23,3/13/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,1,30 Day,2114019015,3,"$1,765.00 "
3/9/23,3/13/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,2,30 Day,2114019015,3,"$2,375.00 "
3/9/23,3/13/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,1,30 Day,2114019015,3,"$1,650.00 "
3/9/23,3/13/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,1,30 Day,2114019015,3,"$1,926.10 "
3/10/23,3/13/23,At-Fault,Non-payment of rent,21225 Roscoe Blvd,Canoga Park,91304,2,3 Day,2779008011,3,"$2,494.96 "
3/13/23,3/13/23,At-Fault,Non-payment of rent,6912 Milwood Ave,Canoga Park,91303,,3 Day,2138021032,3,"$1,380.00 "
3/8/23,3/13/23,At-Fault,Non-payment of rent,6912 Milwood Ave,Canoga Park,91303,2,3 Day,2138021032,3,"$1,918.00 "
3/8/23,3/13/23,At-Fault,Non-payment of rent,7251 Milwood Ave,Canoga Park,91303,2,3 Day,2112023023,3,"$1,926.00 "
3/13/23,3/13/23,At-Fault,Non-payment of rent,7251 Milwood Ave,Canoga Park,91303,2,3 Day,2112023023,3,"$1,926.00 "
3/13/23,3/13/23,At-Fault,Non-payment of rent,20942 Gresham St,Canoga Park,91304,1,3 Day,2779004022,3,"$1,750.00 "
3/14/23,3/14/23,At-Fault,Non-payment of rent,8700 Topanga Canyon Blvd,Canoga Park,91304,2,3 Day,2779042043,3,"$3,390.00 "
3/11/23,3/14/23,At-Fault,Non-payment of rent,8361 Northgate Ave,Canoga Park,91304,1,3 Day,2779043007,3,"$2,990.00 "
3/14/23,3/14/23,At-Fault,Non-payment of rent,21910 Roscoe Blvd,Canoga Park,91304,1,3 Day,2110001053,3,"$2,984.00 "
3/14/23,3/14/23,At-Fault,Non-payment of rent,21910 Roscoe Blvd,Canoga Park,91304,1,3 Day,2110001053,3,"$2,155.61 "
3/14/23,3/14/23,At-Fault,Non-payment of rent,21910 Roscoe Blvd,Canoga Park,91304,1,3 Day,2110001053,3,"$2,590.00 "
3/9/23,3/14/23,At-Fault,Non-payment of rent,21320 Parthenia St,Canoga Park,91304,2,3 Day,2779015039,3,"$3,390.00 "
3/14/23,3/14/23,At-Fault,Non-payment of rent,8700 Topanga Canyon Blvd,Canoga Park,91304,2,3 Day,2779042043,3,"$3,500.00 "
3/11/23,3/14/23,At-Fault,Non-payment of rent,8341 Northgate Ave,Canoga Park,91304,1,3 Day,2779043033,3,"$2,510.00 "
3/11/23,3/14/23,At-Fault,Non-payment of rent,8351 Northgate Ave,Canoga Park,91304,1,3 Day,2779043034,3,"$3,100.00 "
3/14/23,3/14/23,At-Fault,Non-payment of rent,21910 Roscoe Blvd,Canoga Park,91304,2,3 Day,2110001053,3,"$3,524.00 "
3/9/23,3/14/23,At-Fault,Non-payment of rent,21320 Parthenia St,Canoga Park,91304,2,3 Day,2779015039,3,"$4,130.00 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,,3 Day,2779002083,3,"$12,062.97 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,2,3 Day,2779002083,3,"$2,695.00 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,20936 Gresham St,Canoga Park,91304,3,3 Day,2779004029,3,"$2,598.88 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,2,3 Day,2779002083,3,"$4,750.00 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,2,3 Day,2779002083,3,"$30,584.00 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,3,3 Day,2779002083,3,"$2,744.00 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,3,3 Day,2779002083,3,"$20,450.00 "
3/15/23,3/15/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,3,3 Day,2779002083,3,"$5,551.97 "
3/10/23,3/15/23,At-Fault,Non-payment of rent,6551 De Soto Ave,Canoga Park,91303,1,3 Day,2148026036,3,"$2,312.00 "
3/13/23,3/16/23,At-Fault,Non-payment of rent,8600 International Ave,Canoga Park,91304,,3 Day,2779022051,3,"$16,416.00 "
3/14/23,3/16/23,At-Fault,Non-payment of rent,21450 Chase St,Canoga Park,91304,3,3 Day,2779022053,3,"$8,133.58 "
3/14/23,3/16/23,At-Fault,Non-payment of rent,21450 Chase St,Canoga Park,91304,4,3 Day,2779022053,3,"$3,473.53 "
3/13/23,3/16/23,At-Fault,Non-payment of rent,8600 International Ave,Canoga Park,91304,1,3 Day,2779022051,3,"$2,638.95 "
3/14/23,3/16/23,At-Fault,Non-payment of rent,21450 Chase St,Canoga Park,91304,3,3 Day,2779022053,3,"$6,022.00 "
3/17/23,3/17/23,At-Fault,Non-payment of rent,6551 De Soto Ave,Canoga Park,91303,1,3 Day,2148026036,3,"$1,237.00 "
3/17/23,3/17/23,At-Fault,Non-payment of rent,6551 De Soto Ave,Canoga Park,91303,1,3 Day,2148026036,3,"$2,312.00 "
3/20/23,3/20/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,,30 Day,2114019015,3,"$2,312.00 "
3/20/23,3/20/23,At-Fault,Non-payment of rent,20211 Sherman Way,Canoga Park,91306,2,3 Day,2114019015,3,$0.00 
3/20/23,3/20/23,At-Fault,Non-payment of rent,21051 Gresham ST,Canoga Park,91304,2,3 Day,2779002083,3,"$30,584.00 "
3/14/23,3/22/23,At-Fault,Non-payment of rent,8341 Northgate Ave,Canoga Park,91304,1,3 Day,2779043033,3,"$2,270.00 "
3/22/23,3/22/23,At-Fault,Non-payment of rent,8361 Northgate Ave,Canoga Park,91304,1,3 Day,2779043007,3,"$2,900.00 "
3/17/23,3/22/23,At-Fault,Non-payment of rent,"7052 Remmet Ave Canoga Park, CA 91303",Canoga Park,91303,,3 Day,2138009002,3,"$2,900.00 "
3/24/23,3/24/23,At-Fault,Non-payment of rent,21315 Roscoe Blvd,Canoga Park,91304,,3 Day,2779013009,3,"$18,500.00 "
