X,Y,OBJECTID,LOCAL_GOVERNMENT,CSCPORTAL,NAME,SWIS,COUNTY,MUNI_TYPE,STATUS_AS,DATE_ADOPT
-75.662076036,43.0768884920001,249,City of Oneida,https://climatesmart.ny.gov/,Oneida,251200,Madison,City,Registered,8/14/2019
-73.914932589,41.418864973,250,Town of Philipstown,https://climatesmart.ny.gov/,Philipstown,372600,Putnam,Town,Bronze Certified,6/7/2017
-73.651683256,41.969367478,251,Town of Pine Plains,https://climatesmart.ny.gov/,Pine Plains,134200,Dutchess,Town,Registered,3/15/2018
-74.078324744,41.846582444,252,Town of Rosendale,https://climatesmart.ny.gov/,Rosendale,514600,Ulster,Town,Bronze Certified,5/13/2009
-78.543210824,43.1508112970001,253,Town of Royalton,https://climatesmart.ny.gov/,Royalton,293600,Niagara,Town,Registered,2/8/2010
-78.250224924,42.392473028,254,Town of Rushford,https://climatesmart.ny.gov/,Rushford,026400,Allegany,Town,Registered,7/1/2016
-76.487599562,42.468029862,255,Village of Cayuga Heights,https://climatesmart.ny.gov/,Cayuga Heights,503001,Tompkins,Village,Registered,6/17/2019
-73.676864385,42.4132487310001,256,Village of Valatie,https://climatesmart.ny.gov/,Valatie,104403,Columbia,Village,Registered,2/8/2022
-75.378396101,43.0488810750001,257,Village of Clinton,https://climatesmart.ny.gov/,Clinton,304001,Oneida,Village,Registered,7/11/2017
-73.714451067,43.425899223,258,Village of Lake George,https://climatesmart.ny.gov/,Lake George,522201,Warren,Village,Bronze Certified,11/10/2015
-78.67030382,42.900638821,259,Village of Lancaster,https://climatesmart.ny.gov/,Lancaster,145203,Erie,Village,Bronze Certified,6/27/2016
-76.4847167789999,42.4868354760001,260,Village of Lansing,https://climatesmart.ny.gov/,Lansing,503201,Tompkins,Village,Registered,11/4/2019
-75.0891218629999,42.5308616030001,261,Village of Laurens,https://climatesmart.ny.gov/,Laurens,363401,Otsego,Village,Registered,5/7/2019
-74.0768590339999,41.1578651720001,262,Village of Wesley Hills,https://climatesmart.ny.gov/,Wesley Hills,392611,Rockland,Village,Registered,8/7/2018
-73.87693222,41.995912913,263,Village of Red Hook,https://climatesmart.ny.gov/,Red Hook,134801,Dutchess,Village,Registered,6/9/2009
-73.9119123789999,42.0587090490001,264,Village of Tivoli,https://climatesmart.ny.gov/,Tivoli,134803,Dutchess,Village,Registered,7/17/2013
-73.908067552,41.92941782,265,Village of Rhinebeck,https://climatesmart.ny.gov/,Rhinebeck,135001,Dutchess,Village,Bronze Certified,2/6/2010
-74.9861734149999,42.853738848,266,Village of Richfield Springs,https://climatesmart.ny.gov/,Richfield Springs,365601,Otsego,Village,Registered,6/11/2019
-76.126763734,43.5653535490001,267,Village of Pulaski,https://climatesmart.ny.gov/,Pulaski,355001,Oswego,Village,Bronze Certified,7/13/2015
-77.886746843,43.1012876390001,268,Village of Churchville,https://climatesmart.ny.gov/,Churchville,264801,Monroe,Village,Registered,5/23/2022
-75.967927791,42.3303816430001,269,Village of Whitney Point,https://climatesmart.ny.gov/,Whitney Point,034401,Broome,Village,Registered,6/14/2017
-74.468459219,44.234408192,270,Village of Tupper Lake,https://climatesmart.ny.gov/,Tupper Lake,162001,Franklin,Village,Registered,6/13/2019
-74.2054739399999,41.200688445,271,Village of Tuxedo Park,https://climatesmart.ny.gov/,Tuxedo Park,335001,Orange,Village,Registered,6/17/2020
-76.661585665,42.54091594,272,Village of Trumansburg,https://climatesmart.ny.gov/,Trumansburg,503601,Tompkins,Village,Registered,6/24/2022
-76.332623137,43.1576118290001,273,Village of Baldwinsville,https://climatesmart.ny.gov/,Baldwinsville,315601,Onondaga,Village,Registered,7/3/2014
-77.409856873,42.9820981730001,274,Village of Victor,https://climatesmart.ny.gov/,Victor,324801,Ontario,Village,Registered,2/1/2010
-73.918118135,41.5984532320001,275,Village of Wappingers Falls,https://climatesmart.ny.gov/,Wappingers Falls,135601,Dutchess,Village,Registered,8/12/2015
-73.693699139,41.7841980220001,276,Village of Millbrook,https://climatesmart.ny.gov/,Millbrook,135801,Dutchess,Village,Registered,6/8/2022
-77.7541829749999,43.0228140140001,277,Village of Scottsville,https://climatesmart.ny.gov/,Scottsville,265601,Monroe,Village,Registered,10/10/2017
-75.191427393,42.8837703080001,278,Village of West Winfield,https://climatesmart.ny.gov/,West Winfield,215601,Herkimer,Village,Registered,3/9/2020
-74.099850585,41.3287200460001,279,Village of Woodbury,https://climatesmart.ny.gov/,Woodbury,335809,Orange,Village,Registered,5/14/2020
-76.847233893,42.3499075890001,280,Village of Montour Falls,https://climatesmart.ny.gov/,Montour Falls,442403,Schuyler,Village,Bronze Certified,6/21/2018
-72.290277749,40.994982384,281,Village of Sag Harbor,https://climatesmart.ny.gov/,Sag Harbor,472403,Suffolk,Village,Registered,8/11/2020
-73.8264406449999,40.939463398,282,Village of Bronxville,https://climatesmart.ny.gov/,Bronxville,552401,Westchester,Village,Bronze Certified,2/8/2021
-75.55028565,42.829208029,283,Village of Hamilton,https://climatesmart.ny.gov/,Hamilton,252603,Madison,Village,Bronze Certified,9/8/2016
-76.4729148499999,43.0670757170001,284,Village of Jordan,https://climatesmart.ny.gov/,Jordan,312803,Onondaga,Village,Registered,9/21/2015
-76.6994772629999,42.7512015710001,285,Village of Aurora,https://climatesmart.ny.gov/,Aurora,053401,Cayuga,Village,Registered,2/16/2022
-77.612297621,42.906936628,286,Village of Lima,https://climatesmart.ny.gov/,Lima,243201,Livingston,Village,Registered,2/23/2021
-78.798772473,42.249436958,287,Village of Little Valley,https://climatesmart.ny.gov/,Little Valley,045401,Cattaraugus,Village,Registered,4/13/2021
-73.753167656,40.9257482450001,288,Village of Larchmont,https://climatesmart.ny.gov/,Larchmont,553201,Westchester,Village,Registered,4/27/2009
-77.134804991,42.9608266400001,289,Village of Clifton Springs,https://climatesmart.ny.gov/,Clifton Springs,323605,Ontario,Village,Registered,7/10/2017
-73.9147783989999,41.0421989430001,290,Village of Piermont,https://climatesmart.ny.gov/,Piermont,392405,Rockland,Village,Bronze Certified,2/15/2011
-73.924096676,41.0830570100001,291,Village of South Nyack,https://climatesmart.ny.gov/,South Nyack,392407,Rockland,Village,Registered,5/14/2019
-73.692457866,42.747584267,292,Village of Green Island,https://climatesmart.ny.gov/,Green Island,012801,Albany,Village,Registered,2/18/2014
-73.839353074,41.0136335780001,293,Village of Ardsley,https://climatesmart.ny.gov/,Ardsley,552601,Westchester,Village,Bronze Certified,2/2/2010
-73.864715991,41.0123814930001,294,Village of Dobbs Ferry,https://climatesmart.ny.gov/,Dobbs Ferry,552603,Westchester,Village,Bronze Certified,7/14/2009
-73.814210772,41.0540084470001,295,Village of Elmsford,https://climatesmart.ny.gov/,Elmsford,552601,Westchester,Village,Registered,2/28/2022
-73.8749601389999,40.9906677430001,296,Village of Hastings-on-Hudson,https://climatesmart.ny.gov/,Hastings-on-Hudson,552607,Westchester,Village,Silver Certified,6/1/2010
-73.8593763499999,41.0346753000001,297,Village of Irvington,https://climatesmart.ny.gov/,Irvington,552609,Westchester,Village,Bronze Certified,6/4/2012
-73.856610844,41.0668257230001,298,Village of Tarrytown,https://climatesmart.ny.gov/,Tarrytown,552611,Westchester,Village,Bronze Certified,6/15/2009
-76.0082945889999,43.07424697,299,Village of Minoa,https://climatesmart.ny.gov/,Minoa,313805,Onondaga,Village,Registered,3/17/2014
-73.8580948759999,41.1645852390001,300,Village of Ossining,https://climatesmart.ny.gov/,Ossining,554203,Westchester,Village,Registered,4/21/2009
-74.929980969,42.6996288660001,301,Village of Cooperstown,https://climatesmart.ny.gov/,Cooperstown,365001,Otsego,Village,Registered,2/24/2014
-76.26303761,42.1043778260001,302,Village of Owego,https://climatesmart.ny.gov/,Owego,493001,Tioga,Village,Registered,6/21/2022
-73.668107205,41.0054097440001,303,Village of Port Chester,https://climatesmart.ny.gov/,Port Chester,554801,Westchester,Village,Registered,5/6/2009
-73.67633369,41.028551818,304,Village of Rye Brook,https://climatesmart.ny.gov/,Rye Brook,554805,Westchester,Village,Registered,3/22/2016
-73.5808101819999,43.1014112600001,305,Village of Schuylerville,https://climatesmart.ny.gov/,Schuylerville,415001,Saratoga,Village,Registered,1/9/2019
-74.215885828,41.486741593,306,Village of Maybrook,https://climatesmart.ny.gov/,Maybrook,333401,Orange,Village,Registered,2/23/2015
-74.137116684,44.3249226900001,307,Village of Saranac Lake,https://climatesmart.ny.gov/,Saranac Lake,164601,Franklin,Village,Bronze Certified,5/14/2018
-73.967367392,41.1926131160001,308,Village of Haverstraw,https://climatesmart.ny.gov/,Haverstraw,392201,Rockland,Village,Registered,6/22/2016
-73.794012252,40.9941319760001,309,Village of Scarsdale,https://climatesmart.ny.gov/,Scarsdale,555000,Westchester,Village,Registered,2/3/2020
-74.6136514739999,42.7934417050001,310,Village of Sharon Springs,https://climatesmart.ny.gov/,Sharon Springs,434601,Schoharie,Village,Registered,6/22/2022
-75.496564388,42.680680287,311,Village of Sherburne,https://climatesmart.ny.gov/,Sherburne,085603,Chenango,Village,Bronze Certified,5/15/2020
-79.59472569,42.1591112620001,312,Village of Sherman,https://climatesmart.ny.gov/,Sherman,066601,Chautauqua,Village,Registered,5/2/2018
-76.4280828019999,42.9457108290001,313,Village of Skaneateles,https://climatesmart.ny.gov/,Skaneateles,315001,Onondaga,Village,Registered,4/27/2009
-73.667230317,40.6433672520001,314,Village of East Rockaway,https://climatesmart.ny.gov/,East Rockaway,282005,Nassau,Village,Registered,2/8/2010
-73.619284576,40.7042238650001,315,Village of Hempstead,https://climatesmart.ny.gov/,Hempstead,282013,Nassau,Village,Registered,7/3/2018
-74.187955062,41.560373473,316,Village of Walden,https://climatesmart.ny.gov/,Walden,334205,Orange,Village,Registered,7/16/2019
